
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0117                          C62                               92   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0117                          C76                               91   1      1   1   1 1           1 0 INTVCC              (4281-6-13)
10-0117                          C76                               91   1      2   1   1 2           2 0 GND                 (43-1-13)
20-0002                          D2                                96   1      1   1   1 2           2 0 GND                 (43-1-13)
20-0002                          D2                                96   1      2   2   1 1           1 0 XSIG040195          (4376-3-13)
20-0019                          D1                                95   1      1   1   1 2           2 0 VCC1V2              (4123-1-13)
20-0019                          D1                                95   1      2   2   1 1           1 0 XSIG040194          (4376-2-13)
30-0004                          Q1                               181   1      1   1   1 3           3 0 XSIG040204          (5190-56-13)
30-0004                          Q1                               181   1      2   2   1 1           1 0 INHIBITn4V          (4317-1-13)
30-0004                          Q1                               181   1      3   3   1 2           2 0 GND                 (43-1-13)
40-0003                          U2                                12   1      1   1   1 1           1 0 XSIG040194          (4376-2-13)
40-0003                          U2                                12   1      2   2   1 6           6 0 VCC1V2              (4123-1-13)
40-0003                          U2                                12   1      3   3   1 5           5 0 VCC3V3              (4211-45-13)
40-0003                          U2                                12   1      4   4   1 8           8 0 GND                 (43-1-13)
40-0003                          U2                                12   1      5   5   1 7           7 0 XSIG040192          (4376-1-13)
40-0003                          U2                                12   1      6   6   1 2           2 0 VCC3V3              (4211-45-13)
40-0003                          U2                                12   1      7   7   1 3           3 0 XSIG040195          (4376-3-13)
40-0003                          U2                                12   2      1   1   2 4           4 0 GND                 (43-1-13)
40-0219                          U7                                14   1      1   1   1 5           5 0 HALL0               (4324-1-13)
40-0219                          U7                                14   1      2   2   1 1           1 0                     (0-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0219                          U7                                14   2      1   1   2 4           4 0 VCC3V               (4211-1-13)
40-0219                          U7                                14   3      1   1   3 2           2 0 GND                 (43-1-13)
40-0219                          U7                                 0   4      1   1   4 3           3 1                     (0-0-0)
40-0219                          U7                                 0   4      1   1   5 6           6 1                     (0-0-0)
40-0219                          U8                                15   1      1   1   1 5           5 0 HALL1               (4324-2-13)
40-0219                          U8                                15   1      2   2   1 1           1 0                     (0-0-0)
40-0219                          U8                                15   2      1   1   2 4           4 0 VCC3V               (4211-1-13)
40-0219                          U8                                15   3      1   1   3 2           2 0 GND                 (43-1-13)
40-0219                          U8                                 0   4      1   1   4 3           3 1                     (0-0-0)
40-0219                          U8                                 0   4      1   1   5 6           6 1                     (0-0-0)
