
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0058                          C32                             2003   1      1   1   1 1           1 0 XSIG090338          (4347-679-13)
10-0058                          C32                             2003   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C33                             2004   1      1   1   1 1           1 0 XSIG090338          (4347-679-13)
10-0058                          C33                             2004   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C1                              1957   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C1                              1957   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C2                              1952   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C2                              1952   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C3                              1962   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0060                          C3                              1962   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C4                              1963   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C4                              1963   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C5                              1958   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C5                              1958   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C6                              1953   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C6                              1953   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C7                              1959   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C7                              1959   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C8                              1954   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C8                              1954   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C9                              1964   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C9                              1964   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C10                             1965   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C10                             1965   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C11                             1960   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C11                             1960   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C12                             1955   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C12                             1955   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C13                             1956   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C13                             1956   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C14                             1951   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C14                             1951   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C15                             1961   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C15                             1961   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0068                          C34                             2024   1      1   1   1 1           1 0 XSIG090169          (4347-664-13)
10-0068                          C34                             2024   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0068                          C35                             2023   1      1   1   1 1           1 0 XSIG090186          (4347-667-13)
10-0068                          C35                             2023   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0068                          C36                             2022   1      1   1   1 1           1 0 XSIG090281          (4347-670-13)
10-0068                          C36                             2022   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0068                          C37                             2025   1      1   1   1 1           1 0 XSIG090300          (4347-673-13)
10-0068                          C37                             2025   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0068                          C38                             2021   1      1   1   1 1           1 0 XSIG090319          (4347-676-13)
10-0068                          C38                             2021   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0068                          C39                             2020   1      1   1   1 1           1 0 XSIG090338          (4347-679-13)
10-0068                          C39                             2020   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0103                          C40                             2027   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0103                          C40                             2027   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0103                          C41                             2026   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0103                          C41                             2026   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0103                          C42                             2031   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0103                          C42                             2031   1      2   1   1 2           2 0 GND                 (4178-22-13)
