=======================================================================
Xpedition Layout - Version 117.0.817.8330
=======================================================================

RELOAD CELLS

Job Directory:  H:\SPIROSE\PCB\LED_PANEL\PCB\


Design Units:(mm)

Replace Cell Log:   repCellLog71.txt

Tue Jan 16 15:02:27 2018

Reference Designator            Cell Name                         New Cell Name
===============================================================================


---------------  RELOAD CELLS  Tue Jan 16 15:02:27 2018  ---------------




---------------  RELOAD CELLS TMP  Tue Jan 16 15:02:27 2018  ---------------


D1747                           LRTBR48G                          LRTBR48G                        
D752                            LRTBR48G                          LRTBR48G                        
D1061                           LRTBR48G                          LRTBR48G                        
D1664                           LRTBR48G                          LRTBR48G                        
D614                            LRTBR48G                          LRTBR48G                        
D445                            LRTBR48G                          LRTBR48G                        
D605                            LRTBR48G                          LRTBR48G                        
D1304                           LRTBR48G                          LRTBR48G                        
D1806                           LRTBR48G                          LRTBR48G                        
D606                            LRTBR48G                          LRTBR48G                        
D1912                           LRTBR48G                          LRTBR48G                        
D956                            LRTBR48G                          LRTBR48G                        
D1819                           LRTBR48G                          LRTBR48G                        
D60                             LRTBR48G                          LRTBR48G                        
D500                            LRTBR48G                          LRTBR48G                        
D81                             LRTBR48G                          LRTBR48G                        
D92                             LRTBR48G                          LRTBR48G                        
D439                            LRTBR48G                          LRTBR48G                        
D1241                           LRTBR48G                          LRTBR48G                        
D771                            LRTBR48G                          LRTBR48G                        
D1348                           LRTBR48G                          LRTBR48G                        
D353                            LRTBR48G                          LRTBR48G                        
D972                            LRTBR48G                          LRTBR48G                        
D1265                           LRTBR48G                          LRTBR48G                        
D594                            LRTBR48G                          LRTBR48G                        
D585                            LRTBR48G                          LRTBR48G                        
D735                            LRTBR48G                          LRTBR48G                        
D1407                           LRTBR48G                          LRTBR48G                        
D586                            LRTBR48G                          LRTBR48G                        
D1513                           LRTBR48G                          LRTBR48G                        
D120                            LRTBR48G                          LRTBR48G                        
D557                            LRTBR48G                          LRTBR48G                        
D1821                           LRTBR48G                          LRTBR48G                        
D1524                           LRTBR48G                          LRTBR48G                        
D480                            LRTBR48G                          LRTBR48G                        
D79                             LRTBR48G                          LRTBR48G                        
D1732                           LRTBR48G                          LRTBR48G                        
D860                            LRTBR48G                          LRTBR48G                        
D1239                           LRTBR48G                          LRTBR48G                        
D372                            LRTBR48G                          LRTBR48G                        
D1350                           LRTBR48G                          LRTBR48G                        
D1753                           LRTBR48G                          LRTBR48G                        
D573                            LRTBR48G                          LRTBR48G                        
D813                            LRTBR48G                          LRTBR48G                        
D215                            LRTBR48G                          LRTBR48G                        
D1675                           LRTBR48G                          LRTBR48G                        
D206                            LRTBR48G                          LRTBR48G                        
D336                            LRTBR48G                          LRTBR48G                        
D885                            LRTBR48G                          LRTBR48G                        
D207                            LRTBR48G                          LRTBR48G                        
D158                            LRTBR48G                          LRTBR48G                        
D1422                           LRTBR48G                          LRTBR48G                        
D1125                           LRTBR48G                          LRTBR48G                        
D101                            LRTBR48G                          LRTBR48G                        
D1628                           LRTBR48G                          LRTBR48G                        
D1333                           LRTBR48G                          LRTBR48G                        
D461                            LRTBR48G                          LRTBR48G                        
D968                            LRTBR48G                          LRTBR48G                        
D1544                           LRTBR48G                          LRTBR48G                        
D939                            LRTBR48G                          LRTBR48G                        
D1354                           LRTBR48G                          LRTBR48G                        
D174                            LRTBR48G                          LRTBR48G                        
D793                            LRTBR48G                          LRTBR48G                        
D195                            LRTBR48G                          LRTBR48G                        
D1276                           LRTBR48G                          LRTBR48G                        
D186                            LRTBR48G                          LRTBR48G                        
D1583                           LRTBR48G                          LRTBR48G                        
D1010                           LRTBR48G                          LRTBR48G                        
D187                            LRTBR48G                          LRTBR48G                        
D1596                           LRTBR48G                          LRTBR48G                        
D1023                           LRTBR48G                          LRTBR48G                        
D757                            LRTBR48G                          LRTBR48G                        
D69                             LRTBR48G                          LRTBR48G                        
D1630                           LRTBR48G                          LRTBR48G                        
D678                            LRTBR48G                          LRTBR48G                        
D1835                           LRTBR48G                          LRTBR48G                        
D569                            LRTBR48G                          LRTBR48G                        
D1145                           LRTBR48G                          LRTBR48G                        
D961                            LRTBR48G                          LRTBR48G                        
D762                            LRTBR48G                          LRTBR48G                        
D1558                           LRTBR48G                          LRTBR48G                        
D414                            LRTBR48G                          LRTBR48G                        
D1768                           LRTBR48G                          LRTBR48G                        
D1                              LRTBR48G                          LRTBR48G                        
D1184                           LRTBR48G                          LRTBR48G                        
D1008                           LRTBR48G                          LRTBR48G                        
D1114                           LRTBR48G                          LRTBR48G                        
D1197                           LRTBR48G                          LRTBR48G                        
D200                            LRTBR48G                          LRTBR48G                        
D647                            LRTBR48G                          LRTBR48G                        
D358                            LRTBR48G                          LRTBR48G                        
D71                             LRTBR48G                          LRTBR48G                        
D1229                           LRTBR48G                          LRTBR48G                        
D279                            LRTBR48G                          LRTBR48G                        
D1436                           LRTBR48G                          LRTBR48G                        
D990                            LRTBR48G                          LRTBR48G                        
D759                            LRTBR48G                          LRTBR48G                        
D562                            LRTBR48G                          LRTBR48G                        
D363                            LRTBR48G                          LRTBR48G                        
D1560                           LRTBR48G                          LRTBR48G                        
D394                            LRTBR48G                          LRTBR48G                        
D1770                           LRTBR48G                          LRTBR48G                        
D854                            LRTBR48G                          LRTBR48G                        
D1678                           LRTBR48G                          LRTBR48G                        
D1803                           LRTBR48G                          LRTBR48G                        
D905                            LRTBR48G                          LRTBR48G                        
D1688                           LRTBR48G                          LRTBR48G                        
D716                            LRTBR48G                          LRTBR48G                        
D1694                           LRTBR48G                          LRTBR48G                        
D33                             LRTBR48G                          LRTBR48G                        
D180                            LRTBR48G                          LRTBR48G                        
D248                            LRTBR48G                          LRTBR48G                        
D1626                           LRTBR48G                          LRTBR48G                        
D1231                           LRTBR48G                          LRTBR48G                        
D720                            LRTBR48G                          LRTBR48G                        
D848                            LRTBR48G                          LRTBR48G                        
D611                            LRTBR48G                          LRTBR48G                        
D801                            LRTBR48G                          LRTBR48G                        
D163                            LRTBR48G                          LRTBR48G                        
