
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0058                          C27                             1994   1      1   1   1 1           1 0 XSIG090281          (4347-670-13)
10-0058                          C27                             1994   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C28                             1998   1      1   1   1 1           1 0 XSIG090300          (4347-673-13)
10-0058                          C28                             1998   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C29                             1997   1      1   1   1 1           1 0 XSIG090300          (4347-673-13)
10-0058                          C29                             1997   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C30                             1986   1      1   1   1 1           1 0 XSIG090319          (4347-676-13)
10-0058                          C30                             1986   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C31                             1985   1      1   1   1 1           1 0 XSIG090319          (4347-676-13)
10-0058                          C31                             1985   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C32                             1983   1      1   1   1 1           1 0 XSIG090338          (4347-679-13)
10-0058                          C32                             1983   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C33                             1982   1      1   1   1 1           1 0 XSIG090338          (4347-679-13)
10-0058                          C33                             1982   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C1                              1968   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C1                              1968   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C2                              1963   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C2                              1963   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C3                              1973   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C3                              1973   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C4                              1969   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C4                              1969   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C5                              1964   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C5                              1964   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C6                              1959   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C6                              1959   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C7                              1965   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C7                              1965   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C8                              1960   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C8                              1960   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C9                              1970   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C9                              1970   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C10                             1971   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C10                             1971   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C11                             1966   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C11                             1966   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C12                             1961   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C12                             1961   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C13                             1967   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C13                             1967   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C14                             1962   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C14                             1962   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0060                          C15                             1972   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0060                          C15                             1972   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0061                          C53                             2039   1      1   1   1 1           1 0 +5V                 (4771-46-13)
10-0061                          C53                             2039   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0061                          C54                             2044   1      1   1   1 1           1 0 +5V                 (4771-46-13)
10-0061                          C54                             2044   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0061                          C55                             2043   1      1   1   1 1           1 0 +5V                 (4771-46-13)
10-0061                          C55                             2043   1      2   1   1 2           2 0 GND                 (4178-22-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0061                          C56                             2038   1      1   1   1 1           1 0 +5V                 (4771-46-13)
10-0061                          C56                             2038   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0061                          C57                             2037   1      1   1   1 1           1 0 +5V                 (4771-46-13)
10-0061                          C57                             2037   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0061                          C58                             2042   1      1   1   1 1           1 0 +5V                 (4771-46-13)
10-0061                          C58                             2042   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0061                          C59                             2041   1      1   1   1 1           1 0 +5V                 (4771-46-13)
10-0061                          C59                             2041   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0061                          C61                             2040   1      1   1   1 1           1 0 +5V                 (4771-46-13)
10-0061                          C61                             2040   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0068                          C34                             2002   1      1   1   1 1           1 0 XSIG090169          (4347-664-13)
10-0068                          C34                             2002   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0068                          C35                             2003   1      1   1   1 1           1 0 XSIG090186          (4347-667-13)
10-0068                          C35                             2003   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0068                          C36                             2004   1      1   1   1 1           1 0 XSIG090281          (4347-670-13)
10-0068                          C36                             2004   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0068                          C37                             2005   1      1   1   1 1           1 0 XSIG090300          (4347-673-13)
10-0068                          C37                             2005   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0068                          C38                             2001   1      1   1   1 1           1 0 XSIG090319          (4347-676-13)
10-0068                          C38                             2001   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0068                          C39                             2000   1      1   1   1 1           1 0 XSIG090338          (4347-679-13)
10-0068                          C39                             2000   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0103                          C40                             2007   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0103                          C40                             2007   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0103                          C41                             2011   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0103                          C41                             2011   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0103                          C42                             2010   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0103                          C42                             2010   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0103                          C43                             2009   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0103                          C43                             2009   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0103                          C44                             2008   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0103                          C44                             2008   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0103                          C45                             2006   1      1   1   1 1           1 0 +3.3V               (4424-1-13)
10-0103                          C45                             2006   1      2   1   1 2           2 0 GND                 (4178-22-13)
20-0073                          D1                               678   1      1   1   1 1           4 0 UB0_MUL0            (4059-1-13)
20-0073                          D1                               678   1      2   2   1 B           1 0 UB0D0_B0            (4028-34-13)
20-0073                          D1                               678   1      3   3   1 G           2 0 UB0D0_G0            (4028-18-13)
20-0073                          D1                               678   1      4   4   1 R           3 0 UB0D0_R0            (4028-2-13)
20-0073                          D2                               843   1      1   1   1 1           4 0 UB0_MUL0            (4059-1-13)
20-0073                          D2                               843   1      2   2   1 B           1 0 UB0D0_B3            (4028-35-13)
